Price,Covered Area,Project Name,sqft Price,Carpet Area,Area Name,Society,furnished Type,Bathroom,Facing,Transaction Type,Type of Property,bedroom,isPrimeLocationProperty,Property,balconies,floor_ratio,Parking_Status,amenity_score,luxury_score
0.32,635.0,Unknown Project,4960.0,375.0,Kalyan West,1,Unfurnished,2.0,East,New Property,Apartment,1,1,1,2.0,0.35714285714285715,Available,2,2
0.63,579.0,Tata Amantra,10880.0,579.0,Kalyan West,1,Unfurnished,2.0,East,New Property,Apartment,2,1,2,1.0,0.5882352941176471,Available,1,2
0.54,850.0,Sai Satyam Homes,6352.0,585.0,Kalyan West,1,Unfurnished,2.0,East,New Property,Apartment,2,1,2,2.0,1.0,Available,2,2
0.9,1050.0,Birla Vanya,8571.0,815.0,Kalyan West,1,Unfurnished,2.0,East,New Property,Apartment,2,1,2,3.0,0.18518518518518517,Available,3,2
0.5,561.0,Godrej Nirvaan,8824.0,419.0,Kalyan West,1,Semi-Furnished,2.0,East,New Property,Apartment,1,1,1,1.0,0.3076923076923077,Unknown,1,2
0.66,1067.0,Tycoons Solitaire Sapphire,6157.0,667.0,Kalyan West,1,Unfurnished,2.0,North - East,New Property,Apartment,2,1,2,1.0,0.8888888888888888,Available,2,2
0.55,725.0,Unknown Project,7586.0,550.0,Kalyan West,0,Unfurnished,2.0,East,Resale,Apartment,2,1,2,2.0,0.14285714285714285,Unknown,2,2
0.42,650.0,Unknown Project,6462.0,585.0,Kalyan West,0,Semi-Furnished,1.0,East,Resale,Apartment,1,1,1,2.0,0.5,Unknown,2,2
0.34,592.0,Godrej Riviera,5826.0,370.0,Kalyan West,1,Unfurnished,1.0,North - East,New Property,Apartment,1,1,1,1.0,0.7272727272727273,Unknown,1,2
0.5,644.0,Unknown Project,7764.0,430.0,Kalyan West,0,Unfurnished,1.0,West,Resale,Apartment,1,1,1,1.0,0.7142857142857143,Unknown,1,2
0.3,550.0,Unknown Project,5436.0,370.0,Kalyan West,1,Furnished,2.0,East,New Property,Apartment,1,1,1,3.0,0.3333333333333333,Available,2,2
0.42,850.0,Unknown Project,7618.0,570.0,Kalyan West,1,Semi-Furnished,2.0,East,New Property,Apartment,2,1,2,3.0,0.3333333333333333,Available,2,2
0.49,595.0,Rosalie,8235.0,431.9760101010101,Kalyan West,0,Unfurnished,1.0,North - East,New Property,Apartment,1,1,1,1.0,0.47368421052631576,Unknown,1,2
0.22,595.0,Unknown Project,3676.0,450.0,Kalyan West,1,Unfurnished,1.0,North - East,New Property,Apartment,1,1,1,1.0,0.6666666666666666,Available,1,2
0.47,695.0,Guru Atman,6763.0,462.0,Kalyan West,0,Unfurnished,1.0,North - West,Resale,Apartment,1,1,1,1.0,0.8888888888888888,Unknown,1,2
1.04,1349.84,Unknown Project,10674.0,980.0,Kalyan West,1,Unfurnished,2.0,North - East,New Property,Apartment,3,1,3,3.0,0.34615384615384615,Available,4,2
1.2,1350.0,Unknown Project,8889.0,927.0,Kalyan West,0,Unfurnished,3.0,East,New Property,Apartment,3,1,3,3.0,0.5,Available,5,2
0.7,960.0,Guru Atman,7608.0,650.0,Kalyan West,0,Unfurnished,2.0,North - East,Resale,Apartment,2,1,2,2.0,0.391304347826087,Available,2,2
0.7,1010.0,Riverview Classic,6930.0,761.0,Kalyan West,1,Unfurnished,2.0,North - East,New Property,Apartment,2,1,2,2.0,0.6,Available,3,2
0.48,711.0,Ajmera New Era,6751.0,460.0,Kalyan West,0,Unfurnished,2.0,North - East,Resale,Apartment,1,1,1,1.0,0.19047619047619047,Unknown,1,2
0.95,1000.0,Birla Vanya,9500.0,661.0,Kalyan West,1,Semi-Furnished,2.0,North - West,New Property,Apartment,2,1,2,1.0,0.5263157894736842,Available,2,2
0.75,709.0,One Kalyan,12415.0,709.0,Kalyan West,1,Unfurnished,2.0,North - East,New Property,Apartment,2,1,2,2.0,0.6666666666666666,Available,2,2
0.45,675.0,Ajmera Bliss,6666.0,450.0,Kalyan West,1,Unfurnished,2.0,East,New Property,Apartment,1,1,1,3.0,0.23809523809523808,Available,2,2
0.43,590.0,Godrej Upavan,7288.0,367.0,Kalyan West,0,Unfurnished,2.0,East,New Property,Apartment,1,1,1,1.0,0.5454545454545454,Available,1,2
0.4,537.18,Tycoons Square,7446.293607356939,390.0,Kalyan West,1,Furnished,2.0,East,New Property,Apartment,1,1,1,1.0,0.3793103448275862,Available,1,2
