bhk,price,which_floor,bathrooms,balcony,parking,location,buildup_area_sqft,is_ready_to_move,furnishing,age_category,latitude,longitude
3.0,2.05,Middle,3.0,3.0,1.0,Goregaon East,1862.0,1,Semi Furnished,Mid Age,19.1692623,72.8552548
1.0,1.33,Lower,2.0,0.0,1.0,Kandivali East,790.0,1,Unfurnished,New,19.2051958,72.8626165
3.0,7.3,Lower,2.0,0.0,2.0,Goregaon East,1430.0,1,Unfurnished,Mid Age,19.1692623,72.8552548
3.0,7.6,Higher,4.0,0.0,3.0,Goregaon East,2195.0,1,Semi Furnished,Relatively New,19.1692623,72.8552548
2.0,3.2,Lower,2.0,1.0,1.0,Wadala East,960.0,1,Unfurnished,Relatively New,19.0210175,72.8568955
1.0,0.29,Middle,1.0,1.0,1.0,Virar West,620.0,1,Unfurnished,Mid Age,19.455,72.811
3.0,1.95,Middle,3.0,1.0,3.0,Bhandup West,1250.0,1,Semi Furnished,Mid Age,19.1462636,72.9339461
3.0,5.5,Middle,3.0,0.0,2.0,Juhu,969.0,1,Unknown,Relatively New,19.1070215,72.8275275
4.0,8.25,Middle,4.0,0.0,3.0,Andheri West,2600.0,1,Semi Furnished,Relatively New,19.1172495,72.833968
1.0,0.89,Higher,1.0,3.0,2.0,Kurla West,698.0,1,Unfurnished,Relatively New,19.0686026,72.876583
2.0,5.25,Higher,1.0,0.0,2.0,Juhu,909.0,1,Unknown,Mid Age,19.1070215,72.8275275
2.0,2.25,Higher,2.0,0.0,1.0,Andheri West,800.0,1,Unfurnished,New,19.1172495,72.833968
1.0,0.64,Higher,2.0,3.0,1.0,Mira Road East,710.0,1,Unfurnished,New,19.286025,72.868886
2.0,1.63,Unknown,2.0,0.0,1.0,Borivali,900.0,1,Unknown,Relatively New,19.2298129,72.8471376
1.0,0.8,Higher,2.0,0.0,2.0,Mira Road East,580.0,1,Semi Furnished,Relatively New,19.286025,72.868886
5.0,18.75,Middle,6.0,0.0,3.0,Juhu,3960.0,1,Fully Furnished,Mid Age,19.1070215,72.8275275
1.0,0.58,Middle,3.0,0.0,1.0,Mira Road East,715.0,1,Semi Furnished,Relatively New,19.286025,72.868886
3.0,5.5,Middle,3.0,4.0,1.0,Dadar East,1600.0,1,Semi Furnished,Mid Age,19.0162531,72.8522274
3.0,3.25,Middle,3.0,0.0,1.0,Govandi,1408.0,1,Semi Furnished,Mid Age,19.0553688,72.9150702
1.0,0.28,Middle,2.0,0.0,1.0,Nalasopara West,580.0,1,Unfurnished,Mid Age,19.012455,72.835058
5.0,24.0,Unknown,4.0,0.0,2.0,Worli,3050.0,1,Unknown,Mid Age,18.9988405,72.8170327
3.0,3.22,Higher,1.0,0.0,1.0,Mulund West,976.0,1,Unfurnished,Mid Age,19.1719717,72.9511956
2.0,2.9,Middle,2.0,0.0,1.0,Bandra East,1000.0,1,Semi Furnished,Relatively New,19.0616565,72.8498111
1.0,0.42,Middle,2.0,0.0,1.0,Vasai West,585.0,1,Unfurnished,Mid Age,19.3919,72.8054
2.0,1.25,Higher,2.0,0.0,2.0,Dahisar West,800.0,1,Semi Furnished,Old,19.248875,72.852959
1.0,0.6,Unknown,2.0,1.0,1.0,Mira Road East,700.0,0,Unknown,Relatively New,19.286025,72.868886
1.0,0.32,Middle,1.0,2.0,1.0,Virar West,650.0,1,Semi Furnished,Mid Age,19.455,72.811
3.0,3.06,Unknown,3.0,0.0,1.0,Dadar West,740.0,1,Unknown,Relatively New,19.0238887,72.8382236
1.0,0.84,Lower,2.0,1.0,1.0,Malad West,650.0,1,Unfurnished,Relatively New,19.1852851,72.8358611
2.0,2.8,Lower,3.0,1.0,1.0,Malad West,1150.0,1,Semi Furnished,Relatively New,19.1852851,72.8358611
1.0,1.05,Middle,2.0,0.0,0.0,Mulund East,655.0,1,Unknown,Old,19.1704719,72.9610447
1.0,1.4,Higher,2.0,0.0,1.0,Jogeshwari East,650.0,1,Semi Furnished,Old,19.1429467,72.8551559
2.0,2.15,Middle,2.0,2.0,1.0,Ramabai Ambedkar Nagar,1007.0,1,Semi Furnished,New,19.1247542,72.9201221
3.0,2.4,Middle,3.0,0.0,1.0,Goregaon East,900.0,1,Unknown,Relatively New,19.1692623,72.8552548
2.0,2.9,Lower,1.0,0.0,1.0,Andheri West,1050.0,1,Unfurnished,Old,19.1172495,72.833968
3.0,3.12,Unknown,3.0,0.0,2.0,Borivali West,1400.0,1,Unknown,Relatively New,19.2298129,72.8471376
1.0,0.42,Middle,2.0,3.0,1.0,Vasai East,650.0,0,Unfurnished,Relatively New,19.3981,72.84
1.0,0.73,Middle,2.0,2.0,1.0,Mira Road East,600.0,1,Fully Furnished,Relatively New,19.286025,72.868886
3.0,5.0,Lower,3.0,0.0,1.0,Andheri West,1600.0,1,Unknown,Mid Age,19.1172495,72.833968
1.0,0.85,Unknown,1.0,0.0,1.0,Khar East,400.0,0,Unknown,Relatively New,19.0716597,72.8439889
1.0,0.9,Middle,2.0,0.0,1.0,Bhayandar West,735.0,1,Semi Furnished,Mid Age,19.3016,72.8497
2.0,3.1,Middle,2.0,1.0,1.0,Wadala East,1150.0,1,Semi Furnished,Relatively New,19.0210175,72.8568955
1.0,0.63,Middle,1.0,2.0,1.0,Mira Road East,550.0,1,Unfurnished,New,19.286025,72.868886
4.0,14.0,Middle,4.0,2.0,3.0,Dadar East,3000.0,1,Unfurnished,Relatively New,19.0162531,72.8522274
1.0,1.25,Middle,2.0,0.0,1.0,Andheri East,680.0,1,Semi Furnished,Relatively New,19.1158835,72.854202
3.0,5.25,Lower,3.0,1.0,3.0,Andheri West,1780.0,1,Semi Furnished,Mid Age,19.1172495,72.833968
2.0,2.15,Middle,2.0,0.0,1.0,Chembur,1000.0,1,Semi Furnished,New,19.054818,72.8979713
4.0,4.19,Middle,3.0,2.0,1.0,Borivali West,1370.0,1,Semi Furnished,Relatively New,19.2298129,72.8471376
3.0,3.7,Middle,1.0,0.0,2.0,Chembur,1460.0,1,Semi Furnished,Mid Age,19.054818,72.8979713
1.0,1.15,Lower,2.0,0.0,2.0,Goregaon West,550.0,1,Semi Furnished,New,19.1633281,72.8411995
